City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,21.48,72,76,3.82,PN,1731432688
1,jinghong,21.991,100.7341,17.81,97,0,1.41,CN,1731432689
2,taulaga,-11.0553,-171.0883,28.17,71,96,6.27,AS,1731432690
3,bethel,41.3712,-73.414,11.05,51,40,6.17,US,1731432692
4,gaspe,48.8334,-64.4819,3.12,81,75,4.63,CA,1731432542
5,constantia,44.1833,28.65,5.38,74,87,6.53,RO,1731432582
6,tsiombe,-25.3,45.4833,22.46,89,36,2.36,MG,1731432695
7,berezovyy,51.6667,135.7,-11.63,74,11,2.39,RU,1731432697
8,iskateley,67.6803,53.1512,-9.62,81,100,5.13,RU,1731432604
9,port mathurin,-19.6833,63.4167,24.42,80,1,9.04,MU,1731432593
10,abepura,-2.6333,140.5833,25.45,94,20,1.03,ID,1731432700
11,nagqu,31.5,92.0,-4.04,27,100,3.13,CN,1731432701
12,shelbyville,35.4834,-86.4603,18.9,58,0,3.09,US,1731432500
13,jamestown,42.097,-79.2353,6.68,62,100,2.68,US,1731432681
14,garissa,-0.4536,39.6401,27.65,70,89,5.38,KE,1731432705
15,port-aux-francais,-49.35,70.2167,3.47,77,60,11.14,TF,1731432707
16,kodiak,57.79,-152.4072,0.73,80,75,2.06,US,1731432412
17,isafjordur,66.0755,-23.124,8.02,61,100,20.06,IS,1731432709
18,walvis bay,-22.9575,14.5053,18.53,72,0,5.66,NA,1731432710
19,zhanjiang,21.2815,110.3427,22.6,88,86,0.46,CN,1731432711
20,waitangi,-43.9535,-176.5597,10.65,71,6,3.97,NZ,1731432712
21,hammerfest,70.6634,23.6821,6.25,75,75,3.6,NO,1731432713
22,idri,27.5,13.2667,22.0,21,100,3.43,LY,1731432714
23,ripky,51.801,31.0838,0.23,86,18,2.46,UA,1731432715
24,margaret river,-33.95,115.0667,10.73,94,16,3.87,AU,1731432716
25,mejit,10.2753,170.8646,28.46,76,77,7.27,MH,1731432718
26,ta`u,-14.2336,-169.5144,26.62,82,78,7.74,AS,1731432719
27,schonkirchen,54.3333,10.2333,7.29,93,100,2.06,DE,1731432720
28,port alfred,-33.5906,26.891,18.99,78,0,0.45,ZA,1731432721
29,la'ie,21.6477,-157.9253,24.5,79,32,2.24,US,1731432722
30,gilgit,35.9221,74.3087,9.49,54,89,0.57,PK,1731432723
31,yellowknife,62.456,-114.3525,-7.55,99,100,4.12,CA,1731432724
32,west island,-12.1568,96.8225,25.99,83,40,4.12,CC,1731432725
33,olonkinbyen,70.9221,-8.7187,1.41,90,100,12.9,SJ,1731432726
34,ushuaia,-54.8,-68.3,14.81,55,20,5.66,AR,1731432549
35,grytviken,-54.2811,-36.5092,-0.51,79,99,5.32,GS,1731432729
36,san felipe,10.3399,-68.7425,25.74,87,100,2.56,VE,1731432730
37,guerrero negro,27.9769,-114.0611,19.46,66,0,8.84,MX,1731432731
38,akropong,5.9746,-0.0854,25.14,69,80,2.29,GH,1731432732
39,crane,31.3974,-102.3501,24.46,49,40,9.35,US,1731432733
40,san jose de feliciano,-30.3845,-58.7517,26.2,18,41,4.32,AR,1731432734
41,san antonio de pale,-1.4014,5.6325,26.48,82,81,7.49,GQ,1731432513
42,edinburgh of the seven seas,-37.0676,-12.3116,15.89,95,98,4.65,SH,1731432736
43,saint-francois,46.4154,3.9054,7.69,78,100,3.09,FR,1731432737
44,coahuayana de hidalgo,18.7,-103.6583,31.34,56,73,2.19,MX,1731432738
45,puerto natales,-51.7236,-72.4875,14.25,77,75,2.06,CL,1731432739
46,al jawf,29.5,38.75,19.67,51,32,3.93,SA,1731432741
47,saudarkrokur,65.7461,-19.6394,4.95,77,88,19.01,IS,1731432742
48,shimanovsk,52.0,127.7,-11.48,95,35,1.71,RU,1731432743
49,ust-nera,64.5667,143.2,-30.46,98,100,0.79,RU,1731432744
50,tiksi,71.6872,128.8694,-20.81,99,99,1.78,RU,1731432608
51,klyuchi,52.2667,79.1667,-8.4,78,99,4.89,RU,1731432671
52,pandaria,22.2333,81.4167,19.72,60,4,1.99,IN,1731432747
53,kindu,-2.95,25.95,22.79,86,62,0.71,CD,1731432748
54,port elizabeth,-33.918,25.5701,18.16,92,20,11.83,ZA,1731432642
55,uturoa,-16.7333,-151.4333,25.6,76,100,8.83,PF,1731432519
56,albany,42.6001,-73.9662,7.94,56,10,2.24,US,1731432128
57,yuzhno-kurilsk,44.0306,145.8556,3.88,68,100,13.08,RU,1731432753
58,markapur,15.7333,79.2833,23.45,92,100,1.31,IN,1731432754
59,east london,-33.0153,27.9116,22.52,83,0,2.06,ZA,1731432755
60,ilulissat,69.2167,-51.1,-3.99,93,75,3.6,GL,1731432756
61,flying fish cove,-10.4217,105.6791,25.82,94,100,3.09,CX,1731432757
62,mata-utu,-13.2816,-176.1745,27.73,79,87,6.33,WF,1731432758
63,saipan,15.1355,145.701,27.03,85,100,7.72,MP,1731432759
64,haiku-pauwela,20.9219,-156.3051,23.47,81,20,6.71,US,1731432761
65,yamada,39.4667,141.95,7.79,77,85,3.89,JP,1731432762
66,nayoro,44.3506,142.4578,0.18,96,90,1.15,JP,1731432763
67,la ronge,55.1001,-105.2842,2.14,87,100,4.63,CA,1731432752
68,stanley,54.868,-1.6985,5.85,90,0,0.0,GB,1731432765
69,tangalle,6.024,80.7911,24.94,91,35,2.58,LK,1731432767
70,alvaraes,-3.2208,-64.8042,33.93,29,100,1.2,BR,1731432768
71,betio village,1.358,172.9211,27.02,70,31,6.67,KI,1731432769
72,gbarnga,6.9956,-9.4722,26.92,69,49,1.69,LR,1731432771
73,daugavgriva,57.0432,24.0361,4.01,97,100,3.09,LV,1731432772
74,hilo,19.7297,-155.09,22.28,91,75,3.6,US,1731432773
75,turpan,42.9333,89.1667,9.42,50,82,1.03,CN,1731432774
76,kaltan,53.5347,87.2457,-8.86,84,100,5.02,RU,1731432775
77,guatire,10.4762,-66.5427,26.2,84,95,1.74,VE,1731432770
78,hermanus,-34.4187,19.2345,17.11,84,11,1.29,ZA,1731432667
79,cabo san lucas,22.8909,-109.9124,28.2,57,0,2.06,MX,1731432763
80,punta arenas,-53.15,-70.9167,11.06,82,20,5.66,CL,1731432647
81,vadso,70.0744,29.7487,3.09,87,75,3.09,NO,1731432675
82,port macquarie,-31.4333,152.9167,18.37,98,88,0.45,AU,1731432782
83,wongsorejo,-7.9908,114.4009,25.61,86,96,1.3,ID,1731432783
84,villa gesell,-37.2639,-56.973,19.78,45,52,3.52,AR,1731432668
85,avarua,-21.2078,-159.775,23.03,64,99,1.54,CK,1731432540
86,kristiansund,63.1115,7.732,12.36,66,75,4.12,NO,1731432786
87,pahrump,36.2083,-115.9839,12.92,29,0,5.81,US,1731432787
88,alghero,40.5589,8.3181,15.05,82,98,2.06,IT,1731432789
89,zaozersk,69.4005,32.4476,1.52,88,99,3.04,RU,1731432790
90,tralee,52.2704,-9.7026,10.14,87,20,1.54,IE,1731432791
91,greymouth,-42.4667,171.2,6.59,89,13,2.4,NZ,1731432792
92,darab,28.7519,54.5444,20.3,31,0,1.18,IR,1731432793
93,valparaiso,-33.0393,-71.6273,34.8,24,0,5.66,CL,1731432530
94,tam ky,15.5667,108.4833,23.67,94,100,1.39,VN,1731432795
95,lebu,-37.6167,-73.65,14.15,72,46,9.63,CL,1731432796
96,invercargill,-46.4,168.35,6.68,94,13,1.98,NZ,1731432797
97,ponnani,10.767,75.9252,26.77,79,99,1.45,IN,1731432798
98,sidney,-33.8679,151.2073,18.61,90,100,3.09,AU,1731432800
99,laascaanood,8.4774,47.3597,28.23,41,52,0.93,SO,1731432801
100,udachny,66.4167,112.4,-14.48,96,100,2.01,RU,1731432802
101,lompoc,34.6391,-120.4579,16.4,58,0,6.69,US,1731432803
102,dzhangala,49.2167,50.3333,-1.73,54,2,2.13,KZ,1731432804
103,rozhyshche,50.9154,25.2691,1.44,82,99,2.94,UA,1731432805
104,nevel'sk,46.6733,141.8633,0.56,66,100,6.25,RU,1731432806
105,susuman,62.7833,148.1667,-22.4,98,100,1.28,RU,1731432807
106,hawaiian paradise park,19.5933,-154.9731,22.16,96,75,3.6,US,1731432808
107,siler city,35.7235,-79.4622,20.13,46,54,3.87,US,1731432809
108,badger,64.8,-147.5333,-14.86,93,100,0.87,US,1731432811
109,egilsstadir,65.2653,-14.3948,7.95,57,20,8.75,IS,1731432812
110,colonia,50.9333,6.95,9.51,86,100,4.12,DE,1731432813
111,funafuti,-8.5243,179.1942,29.0,84,75,4.63,TV,1731432814
112,nguigmi,14.2495,13.1092,28.4,23,0,5.21,NE,1731432815
113,toliara,-23.35,43.6667,25.02,69,93,5.62,MG,1731432816
114,hami,42.8,93.45,9.46,53,83,4.73,CN,1731432606
115,carnarvon,-24.8667,113.6333,21.88,75,81,8.24,AU,1731432819
116,ust'-uda,54.1742,103.0304,-5.83,61,100,4.28,RU,1731432820
117,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,50,20,4.0,RU,1731432821
118,ribeira grande,38.5167,-28.7,19.32,94,75,2.57,PT,1731432822
119,adam,22.3756,57.5233,26.27,25,0,3.26,OM,1731432823
120,port-gentil,-0.7193,8.7815,27.98,83,75,6.69,GA,1731432824
121,keflavik,64.0049,-22.5624,7.24,65,100,18.01,IS,1731432825
122,formosa do rio preto,-11.0483,-45.1931,24.35,77,95,2.72,BR,1731432826
123,blackmans bay,-43.0167,147.3167,13.07,91,52,0.45,AU,1731432827
124,karasu,41.071,30.7854,13.25,87,97,3.47,TR,1731432829
125,oranjemund,-28.55,16.4333,15.58,81,14,9.69,NA,1731432830
126,murzuq,25.9155,13.9184,20.29,21,68,2.73,LY,1731432831
127,vico del gargano,41.8983,15.9576,11.19,59,100,1.05,IT,1731432832
128,fada,7.25,4.0667,31.37,58,20,1.03,NG,1731432833
129,happy valley-goose bay,53.3168,-60.3315,0.17,86,100,4.63,CA,1731432834
130,bilibino,68.0546,166.4372,-25.1,100,22,2.07,RU,1731432835
131,whitehorse,60.7161,-135.0538,-4.57,93,100,1.03,CA,1731432781
132,kyadabek,40.5656,45.8161,4.23,82,91,0.99,AZ,1731432837
133,seymour,38.9592,-85.8903,11.4,52,1,4.44,US,1731432565
134,luena,-11.7833,19.9167,19.51,80,45,2.13,AO,1731432840
135,saint-joseph,-21.3667,55.6167,23.21,78,67,4.76,RE,1731432841
136,st. john's,47.5649,-52.7093,13.75,97,100,6.17,CA,1731432773
137,atafu village,-8.5421,-172.5159,28.28,69,24,8.05,TK,1731432843
138,guelmim,28.987,-10.0574,20.19,64,20,6.69,MA,1731432844
139,hithadhoo,-0.6,73.0833,28.42,76,67,7.01,MV,1731432845
140,puerto ayora,-0.7393,-90.3518,23.64,81,91,3.13,EC,1731432846
141,usakos,-22.0,15.6,25.15,24,0,5.78,NA,1731432847
142,iqaluit,63.7506,-68.5145,-14.15,77,20,2.06,CA,1731432848
143,at taj,24.2049,23.2857,20.22,24,11,4.04,LY,1731432850
144,mandimba,-14.3548,35.6515,29.17,34,66,1.34,MZ,1731432851
145,kardla,58.9978,22.7492,6.7,78,100,2.61,EE,1731432853
146,usinsk,65.9939,57.5281,-21.59,91,19,1.21,RU,1731432854
147,namibe,-15.1961,12.1522,22.78,70,73,5.46,AO,1731432855
148,akureyri,65.6835,-18.0878,7.96,53,75,15.43,IS,1731432857
149,myeik,12.4333,98.6,26.61,81,76,1.98,MM,1731432859
150,weno,7.4515,151.8468,28.8,76,89,6.61,FM,1731432860
151,lazaro cardenas,17.9583,-102.2,29.64,63,98,2.24,MX,1731432861
152,baracoa,20.3467,-74.4958,29.77,73,48,2.55,CU,1731432862
153,kailua-kona,19.6406,-155.9956,23.64,81,40,1.54,US,1731432863
154,kill devil hills,36.0307,-75.676,17.77,59,40,7.2,US,1731432864
155,khoyniki,51.8911,29.9552,0.78,86,67,2.26,BY,1731432865
156,urengoy,65.9667,78.3667,-24.51,97,74,4.66,RU,1731432866
157,asadabad,34.7824,48.1185,12.18,38,81,1.59,IR,1731432867
158,springfield,37.2153,-93.2982,16.23,59,0,5.81,US,1731432733
159,pisco,-13.7,-76.2167,20.57,77,94,5.66,PE,1731432870
160,kayes,14.0,-11.0,31.59,21,100,1.47,ML,1731432871
161,ostersund,63.1792,14.6357,4.23,100,75,4.12,SE,1731432872
162,azle,32.8951,-97.5459,23.04,57,20,5.66,US,1731432873
163,malumfashi,11.7853,7.6218,25.51,27,17,3.52,NG,1731432875
164,port blair,11.6667,92.75,27.11,80,31,2.74,IN,1731432876
165,pemangkat,1.1667,108.9667,27.44,77,100,1.57,ID,1731432877
166,kharp,66.8014,65.8081,-21.49,93,14,3.35,RU,1731432878
167,sevierville,35.8681,-83.5618,19.02,61,90,3.18,US,1731432880
168,wailua homesteads,22.0669,-159.378,23.44,95,20,6.69,US,1731432796
169,saint-philippe,-21.3585,55.7679,23.49,80,63,4.69,RE,1731432882
170,itoman,26.1247,127.6694,25.01,83,100,4.12,JP,1731432883
171,qaqortoq,60.7167,-46.0333,-4.32,74,86,5.13,GL,1731432884
172,yaguajay,22.3272,-79.2378,27.73,84,51,5.68,CU,1731432885
173,howard springs,-12.497,131.047,28.95,78,61,0.79,AU,1731432886
174,brisas de zicatela,15.8369,-97.0419,28.67,69,85,2.76,MX,1731432887
175,kapit,2.0167,112.9333,22.64,100,97,0.18,MY,1731432889
176,alofi,-19.0595,-169.9187,22.94,88,100,3.6,NU,1731432890
177,kapa'a,22.0752,-159.319,24.18,95,20,6.69,US,1731432794
178,ancud,-41.8697,-73.8203,13.08,75,85,4.22,CL,1731432892
179,sovetskaya gavan',48.9723,140.2878,-4.61,66,6,3.75,RU,1731432894
180,rongelap,11.1635,166.8941,28.14,75,73,5.53,MH,1731432895
181,vuktyl,63.8567,57.3094,-12.74,97,89,0.82,RU,1731432896
182,lihue,21.9789,-159.3672,23.77,83,20,6.69,US,1731432897
183,sandacho,34.8833,135.2333,13.81,90,14,3.05,JP,1731432900
184,kolonia,50.9333,6.95,9.51,86,100,4.12,DE,1731432901
185,vilyuchinsk,52.9306,158.4028,-3.85,78,47,5.21,RU,1731432902
186,papatowai,-46.5619,169.4708,7.93,85,10,1.67,NZ,1731432903
187,callao,-12.0667,-77.15,20.16,73,75,4.12,PE,1731432775
188,talcahuano,-36.7167,-73.1167,19.82,49,0,8.23,CL,1731432616
189,college,64.8569,-147.8028,-16.17,83,75,0.0,US,1731432906
190,utrik,11.2278,169.8474,28.46,72,46,6.82,MH,1731432907
191,bikenibeu village,1.3673,173.1241,26.98,78,20,4.63,KI,1731432909
192,sodankyla,67.4167,26.6,-0.84,92,75,1.72,FI,1731432689
193,mount gambier,-37.8333,140.7667,11.4,94,90,3.91,AU,1731432912
194,khanjarah,40.5999,33.6153,8.55,68,20,1.11,TR,1731432913
195,oxapampa,-10.5775,-75.4017,16.97,99,100,0.67,PE,1731432914
196,gadzhiyevo,69.2551,33.3362,1.92,86,100,3.24,RU,1731432916
197,tazovsky,67.4667,78.7,-23.01,94,85,5.12,RU,1731432917
198,cockburn town,21.4612,-71.1419,27.86,83,42,7.75,TC,1731432919
199,georgetown,5.4112,100.3354,27.96,87,40,1.03,MY,1731432920
200,vilyuysk,63.7553,121.6247,-14.48,94,97,2.7,RU,1731432921
201,collie,-33.3667,116.15,9.88,98,5,2.68,AU,1731432922
202,yangambi,0.8102,24.4336,22.91,92,99,1.23,CD,1731432923
203,mansa,29.9833,75.3833,21.93,22,0,1.93,IN,1731432924
204,mokhsogollokh,61.4681,128.9203,-21.59,100,89,0.87,RU,1731432925
205,cole harbour,44.6724,-63.4751,12.66,90,75,1.54,CA,1731432926
206,greenland,43.0362,-70.8328,11.09,50,26,3.58,US,1731432927
207,kavieng,-2.5744,150.7967,27.78,78,14,3.24,PG,1731432929
208,cadale,2.7603,46.3222,26.83,81,73,4.31,SO,1731432930
209,ceeldheer,3.8488,47.1806,26.94,77,84,5.41,SO,1731432931
210,winters,38.5249,-121.9708,8.29,96,100,3.6,US,1731432932
211,nar'yan-mar,67.6713,53.087,-9.44,81,100,5.19,RU,1731432933
212,remire-montjoly,4.9167,-52.2667,27.02,89,75,1.54,GF,1731432702
213,kabalo,-6.05,26.9167,22.79,80,49,1.54,CD,1731432935
214,ambon,-3.6954,128.1814,27.15,95,40,4.12,ID,1731432936
215,wildwood,38.5828,-90.6629,12.57,62,0,3.13,US,1731432915
216,orosei,40.3798,9.6929,15.76,86,100,3.23,IT,1731432938
217,port lincoln,-34.7333,135.8667,13.61,79,20,4.13,AU,1731432940
218,hamilton,39.1834,-84.5333,10.92,68,100,4.63,US,1731432891
219,aykhal,66.0,111.5,-16.6,99,100,2.14,RU,1731432683
220,krems an der donau,48.4092,15.6142,3.88,86,87,1.44,AT,1731432943
221,florence,43.7667,11.25,12.82,64,0,7.2,IT,1731432845
222,talnakh,69.4865,88.3972,-25.67,96,98,1.3,RU,1731432945
223,archidona,37.0965,-4.3887,15.35,67,69,2.24,ES,1731432946
224,thompson,55.7435,-97.8558,3.09,81,100,2.57,CA,1731432947
225,codrington,-38.2667,141.9667,14.14,96,83,7.3,AU,1731432948
226,nemuro,43.3236,145.575,5.41,66,93,13.33,JP,1731432950
227,piton saint-leu,-21.2196,55.3151,22.06,73,64,5.14,RE,1731432951
228,sahab,31.8721,36.005,16.35,55,0,2.06,JO,1731432953
229,kuchera,26.9839,73.9719,23.23,27,0,1.83,IN,1731432954
230,ponta delgada,37.7333,-25.6667,21.4,83,40,6.69,PT,1731432955
231,caribou,46.8606,-68.012,4.24,79,100,12.35,US,1731432956
232,mufumbwe,-13.6833,24.8,19.9,80,40,3.76,ZM,1731432854
233,la passe,45.5549,-0.8967,9.9,82,100,5.69,FR,1731432958
234,enewetak,11.3474,162.3373,28.29,76,79,4.53,MH,1731432960
235,hadibu,12.65,54.0333,25.74,74,1,4.01,YE,1731432961
236,tionk essil,12.7856,-16.5217,28.7,38,100,1.45,SN,1731432962
237,neryungri,56.6709,124.6491,-22.47,98,28,1.55,RU,1731432963
238,murghob,38.1702,73.9667,-5.65,43,77,3.53,TJ,1731432964
239,tongchuanshi,35.0806,109.0897,11.14,90,100,0.84,CN,1731432965
240,queenstown,-31.8976,26.8753,18.15,64,19,2.87,ZA,1731432966
241,wattegama,6.7989,81.4808,24.4,91,70,0.54,LK,1731432967
242,port augusta,-32.5,137.7667,16.42,69,68,7.6,AU,1731432969
243,san patricio,28.017,-97.5169,27.97,51,9,4.76,US,1731432971
244,khovd,48.0056,91.6419,-0.69,39,2,1.19,MN,1731432972
245,pangkalanbuun,-2.6833,111.6167,23.85,99,73,0.8,ID,1731432973
246,vernon,50.2581,-119.2691,6.63,83,99,2.06,CA,1731432974
247,lata,40.1629,-8.3327,12.66,62,18,2.9,PT,1731432975
248,khanabad,36.6825,69.1156,15.41,52,100,2.28,AF,1731432976
249,alpine,32.835,-116.7664,17.13,63,0,0.0,US,1731432977
250,sur,22.5667,59.5289,26.93,59,0,0.58,OM,1731432979
251,amga,60.8953,131.9608,-19.99,100,93,0.8,RU,1731432980
252,nishinoomote,30.7333,131.0,21.54,76,55,4.08,JP,1731432981
253,chemolgan,43.1897,76.5292,3.97,83,100,1.79,KZ,1731432982
254,belyy yar,53.6039,91.3903,-7.06,53,0,5.0,RU,1731432983
255,vorgashor,67.5833,63.95,-25.42,100,99,1.64,RU,1731432984
256,kataysk,56.289,62.5841,-3.8,94,100,5.95,RU,1731432985
257,santa cruz,-17.8,-63.1667,25.03,41,75,15.95,BO,1731432934
258,anadyr,64.75,177.4833,-1.72,86,75,9.0,RU,1731432988
259,longyearbyen,78.2186,15.6401,1.91,87,75,8.23,SJ,1731432989
260,afaahiti,-17.75,-149.2833,23.6,77,100,7.89,PF,1731432990
261,rosedale,39.3201,-76.5155,15.42,46,27,4.47,US,1731432991
262,island harbour,50.724,-1.2758,11.68,64,32,2.68,GB,1731432992
263,palmer,42.1584,-72.3287,10.29,44,75,9.26,US,1731432943
264,pinoso,38.4016,-1.042,12.66,46,96,3.72,ES,1731432994
265,kerikeri,-35.2268,173.9474,13.23,96,92,0.96,NZ,1731432995
266,fuzesabony,47.75,20.4167,3.81,54,100,1.25,HU,1731432997
267,viana do castelo,41.6932,-8.8329,15.37,74,49,6.52,PT,1731432922
268,alta,69.9689,23.2717,3.59,81,0,4.12,NO,1731432999
269,tamandare,-8.7597,-35.1047,27.86,61,29,4.63,BR,1731433000
270,toropets,56.4978,31.6353,0.17,82,26,1.67,RU,1731433001
271,bredasdorp,-34.5322,20.0403,15.87,78,5,2.36,ZA,1731433002
272,antsiranana,-12.2787,49.2917,25.19,78,91,6.73,MG,1731433003
273,kysucke nove mesto,49.3,18.7833,0.69,90,0,2.06,SK,1731433004
274,kirensk,57.7853,108.1119,-5.56,91,100,6.34,RU,1731433005
275,charters towers,-20.1,146.2667,21.88,83,87,4.75,AU,1731433007
276,newman,37.3138,-121.0208,13.82,61,3,2.5,US,1731433008
277,salalah,17.0151,54.0924,26.05,53,0,1.54,OM,1731433009
278,nuuk,64.1835,-51.7216,-0.66,74,75,9.26,GL,1731433010
279,raduzhny,62.0961,77.475,-19.9,95,99,3.4,RU,1731433011
280,serov,59.6033,60.5787,-8.2,98,81,1.64,RU,1731433012
281,tolanaro,-25.0319,46.9987,25.04,83,20,1.03,MG,1731433013
282,sabang,5.8933,95.3214,28.61,70,93,1.67,ID,1731433014
283,mentekab,3.4854,102.3484,23.86,99,100,0.45,MY,1731433015
284,luchegorsk,46.4764,134.2569,-4.17,71,0,2.05,RU,1731433017
